#ZIPCODE,CITY,AREA,ROAD,CMP_LABLE,EVEN,LANE,LANE1,ALLEY,ALLEY1,NO_BGN,NO_BGN1,NO_END,NO_END1,FLOOR,FLOOR1,SCOOP,ROAD_NO,EXP,RMK
111,台北市,士林區,中山北路６段,0,,,,0,,,0,,0,,,全,086671,,0000000000
104,台北市,中山區,中山北路４段,1,1,,,0,,,0,,0,,,單全,086611,,0000000000
111,台北市,士林區,中山北路４段,2,2,,,0,,,0,,0,,,雙全,086611,,0000000000
100,台北市,中正區,中山南路,0,,,,0,,,0,,0,,,全,087271,,0000000000
112,台北市,北投區,中山路,6,1,,,0,,1,0,47,0,,,"單   1號至  47號",087571,,0001000000
112,台北市,北投區,中山路,7,2,,,0,,2,0,44,0,,,"雙   2號至  44號",087571,,0002000000
112,台北市,北投區,中心街,0,,,,0,,,0,,0,,,全,090331,,0000000000
112,台北市,北投區,中央北路１段,0,,,,0,,,0,,0,,,全,090991,,0000000000
112,台北市,北投區,中央北路２段,0,,,,0,,,0,,0,,,全,091021,,0000000000
112,台北市,北投區,中央北路３段,0,,,,0,,,0,,0,,,全,091051,,0000000000
112,台北市,北投區,中央北路４段,0,,,,0,,,0,,0,,,全,091081,,0000000000
112,台北市,北投區,中央南路１段,0,,,,0,,,0,,0,,,全,091501,,0000000000
112,台北市,北投區,中央南路２段,0,,,,0,,,0,,0,,,全,091531,,0000000000
112,台北市,北投區,中正街,0,,,,0,,,0,,0,,,全,094201,,0000000000
111,台北市,士林區,中正路,0,,,,0,,,0,,0,,,全,094411,,0000000000
112,台北市,北投區,中和街,0,,,,0,,,0,,0,,,全,098671,,0000000000
110,台北市,信義區,中坡北路,1,1,,,0,,,0,,0,,,單全,099181,,0000000000
115,台北市,南港區,中坡北路,2,2,,,0,,,0,,0,,,雙全,099181,,0000000000
110,台北市,信義區,中坡南路,2,2,,,0,,,0,,0,,,雙全,099211,,0000000000
115,台北市,南港區,中坡南路,6,1,,,0,,1,0,199,0,,,"單   1號至 199號",099211,,0001000000
110,台北市,信義區,中坡南路,7,2,,,0,,201,0,9999,0,,,"雙 201號至9999號",099211,,0201000000
111,台北市,士林區,中社路１段,0,,,,0,,,0,,0,,,全,100051,,0000000000
111,台北市,士林區,中社路２段,0,,,,0,,,0,,0,,,全,100081,,0000000000
115,台北市,南港區,中南街,0,,,,0,,,0,,0,,,全,100501,,0000000000
104,台北市,中山區,中原街,0,,,,0,,,0,,0,,,全,102421,,0000000000
116,台北市,文山區,中崙路,0,,,,0,,,0,,0,,,全,103771,,0000000000
111,台北市,士林區,中庸一路,0,,,,0,,,0,,0,,,全,104011,,0000000000
111,台北市,士林區,中庸二路,0,,,,0,,,0,,0,,,全,104041,,0000000000
111,台北市,士林區,中庸五路,0,,,,0,,,0,,0,,,全,104071,,0000000000
112,台北市,北投區,中華街,0,,,,0,,,0,,0,,,全,107821,,0000000000
111,台北市,士林區,中華路,0,,,,0,,,0,,0,,,全,107881,,0000000000
100,台北市,中正區,中華路１段,1,1,,,0,,,0,,0,,,單全,107911,,0000000000
108,台北市,萬華區,中華路１段,2,2,,,0,,,0,,0,,,雙全,107911,,0000000000
100,台北市,中正區,中華路２段,1,1,,,0,,,0,,0,,,單全,107971,,0000000000
108,台北市,萬華區,中華路２段,2,2,,,0,,,0,,0,,,雙全,107971,,0000000000
111,台北市,士林區,中興街,0,,,,0,,,0,,0,,,全,112321,,0000000000
112,台北市,北投區,中興路,0,,,,0,,,0,,0,,,全,112651,,0000000000
100,台北市,中正區,丹陽街,0,,,,0,,,0,,0,,,全,115531,,0000000000
114,台北市,內湖區,五分街,0,,,,0,,,0,,0,,,全,116491,,0000000000
103,台北市,大同區,五原路,0,,,,0,,,0,,0,,,全,118381,,0000000000
104,台北市,中山區,五常街,6,1,,,0,,1,0,265,0,,,"單   1號至 265號",118681,,0001000000
104,台北市,中山區,五常街,7,2,,,0,,2,0,358,0,,,"雙   2號至 358號",118681,,0002000000
105,台北市,松山區,五常街,6,1,,,0,,267,0,9999,0,,,"單 267號以上",118681,,0267000000
105,台北市,松山區,五常街,7,2,,,0,,360,0,9998,0,,,"雙 360號以上",118681,,0360000000
111,台北市,士林區,仁民路,0,,,,0,,,0,,0,,,全,123601,,0000000000
100,台北市,中正區,仁愛路１段,0,,,,0,,,0,,0,,,全,129271,,0000000000
100,台北市,中正區,仁愛路２段,0,,,,0,,,0,,0,,,全,129301,,0000000000
106,台北市,大安區,仁愛路３段,0,,,,0,,,0,,0,,,全,129331,,0000000000
106,台北市,大安區,仁愛路４段,6,1,,,0,,1,0,449,0,,,"單   1號至 449號",129361,,0001000000
