# link=https://github.com/ronnywang/postcode
# data_time=2012-09-11
# data_source=http://www.post.gov.tw/post/internet/down/index.html?ID=190108
# description=鄉鎮縣市別稱中英對照
#ZIPCODE,CITYAREA,CITY,AREA,ECITYAREA,ECITY,EAREA,AREA1,RMK
221,台北汐止鎮,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,北縣汐止,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,台北汐止,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,台北縣汐止,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,汐止市,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,北縣汐止鎮,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,台北縣汐止市,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,北縣汐止市,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,台北汐止市,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,台北縣汐止區,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
221,北縣汐止區,新北市,汐止區,"Xizhi Dist., New Taipei City","New Taipei City","Xizhi Dist.",汐止區,
222,新北市深坑區,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,深坑區,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,北市深坑區,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,新北深坑區,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,台北縣深坑鄉,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,深坑鄉,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,北縣深坑鄉,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,台北深坑鄉,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,台北縣深坑區,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
222,北縣深坑區,新北市,深坑區,"Shenkeng Dist., New Taipei City","New Taipei City","Shenkeng Dist.",深坑區,V
223,新北石碇區,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,北市石碇區,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,新北市石碇區,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,石碇區,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,台北石碇鄉,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,北縣石碇鄉,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,台北縣石碇鄉,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,石碇鄉,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,台北縣石碇區,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
223,北縣石碇區,新北市,石碇區,"Shiding Dist., New Taipei City","New Taipei City","Shiding Dist.",石碇區,V
224,新北瑞芳區,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,北市瑞芳區,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,瑞芳區,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,新北市瑞芳區,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,台北瑞芳鎮,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,北縣瑞芳鎮,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,瑞芳鎮,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,台北縣瑞芳鎮,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,台北縣瑞芳區,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
224,北縣瑞芳區,新北市,瑞芳區,"Ruifang Dist., New Taipei City","New Taipei City","Ruifang Dist.",瑞芳區,V
226,新北平溪區,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,北市平溪區,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,新北市平溪區,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,平溪區,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
226,台北平溪鄉,新北市,平溪區,"Pingxi Dist., New Taipei City","New Taipei City","Pingxi Dist.",平溪區,V
