# link=https://github.com/ronnywang/postcode
# data_time=2012-09-11
# data_source=http://www.post.gov.tw/post/internet/down/index.html?ID=190108
# description=鄉鎮縣市中英對照
#ZIPCODE,CITY,AREA,ECITYAREA,TCITYAREA,HCITYAREA,PCITYAREA
310,新竹縣,竹東鎮,"Zhudong Township, Hsinchu County","Jhudong Township, Hsinchu County","Zhudong Township, Hsinchu County","Judung Township, Hsinchu County"
311,新竹縣,五峰鄉,"Wufeng Township, Hsinchu County","Wufong Township, Hsinchu County","Wufeng Township, Hsinchu County","Wufeng Township, Hsinchu County"
312,新竹縣,橫山鄉,"Hengshan Township, Hsinchu County","Hengshan Township, Hsinchu County","Hengshan Township, Hsinchu County","Hengshan Township, Hsinchu County"
313,新竹縣,尖石鄉,"Jianshi Township, Hsinchu County","Jianshih Township, Hsinchu County","Jianshi Township, Hsinchu County","Jiansh Township, Hsinchu County"
314,新竹縣,北埔鄉,"Beipu Township, Hsinchu County","Beipu Township, Hsinchu County","Beipu Township, Hsinchu County","Beipu Township, Hsinchu County"
315,新竹縣,峨眉鄉,"Emei Township, Hsinchu County","Emei Township, Hsinchu County","Emei Township, Hsinchu County","Emei Township, Hsinchu County"
320,桃園縣,中壢市,"Zhongli City, Taoyuan County","Jhongli City, Taoyuan County","Zhongli City, Taoyuan County","Jungli City, Taoyuan County"
324,桃園縣,平鎮市,"Pingzhen City, Taoyuan County","Pingjhen City, Taoyuan County","Pingzhen City, Taoyuan County","Pingjen City, Taoyuan County"
325,桃園縣,龍潭鄉,"Longtan Township, Taoyuan County","Longtan Township, Taoyuan County","Longtan Township, Taoyuan County","Lungtan Township, Taoyuan County"
326,桃園縣,楊梅市,"Yangmei City, Taoyuan County","Yangmei City, Taoyuan County","Yangmei City, Taoyuan County","Yangmei City, Taoyuan County"
327,桃園縣,新屋鄉,"Xinwu Township, Taoyuan County","Sinwu Township, Taoyuan County","Xinwu Township, Taoyuan County","Shinwu Township, Taoyuan County"
328,桃園縣,觀音鄉,"Guanyin Township, Taoyuan County","Guanyin Township, Taoyuan County","Guanyin Township, Taoyuan County","Guanyin Township, Taoyuan County"
330,桃園縣,桃園市,"Taoyuan City, Taoyuan County","Taoyuan City, Taoyuan County","Taoyuan City, Taoyuan County","Taoyuan City, Taoyuan County"
333,桃園縣,龜山鄉,"Guishan Township, Taoyuan County","Gueishan Township, Taoyuan County","Guishan Township, Taoyuan County","Gueishan Township, Taoyuan County"
334,桃園縣,八德市,"Bade City, Taoyuan County","Bade City, Taoyuan County","Bade City, Taoyuan County","Bade City, Taoyuan County"
335,桃園縣,大溪鎮,"Daxi Township, Taoyuan County","Dasi Township, Taoyuan County","Daxi Township, Taoyuan County","Dashi Township, Taoyuan County"
336,桃園縣,復興鄉,"Fuxing Township, Taoyuan County","Fusing Township, Taoyuan County","Fuxing Township, Taoyuan County","Fushing Township, Taoyuan County"
337,桃園縣,大園鄉,"Dayuan Township, Taoyuan County","Dayuan Township, Taoyuan County","Dayuan Township, Taoyuan County","Dayuan Township, Taoyuan County"
338,桃園縣,蘆竹鄉,"Luzhu Township, Taoyuan County","Lujhu Township, Taoyuan County","Luzhu Township, Taoyuan County","Luju Township, Taoyuan County"
350,苗栗縣,竹南鎮,"Zhunan Township, Miaoli County","Jhunan Township, Miaoli County","Zhunan Township, Miaoli County","Junan Township, Miaoli County"
351,苗栗縣,頭份鎮,"Toufen Township, Miaoli County","Toufen Township, Miaoli County","Toufen Township, Miaoli County","Toufen Township, Miaoli County"
352,苗栗縣,三灣鄉,"Sanwan Township, Miaoli County","Sanwan Township, Miaoli County","Sanwan Township, Miaoli County","Sanwan Township, Miaoli County"
353,苗栗縣,南庄鄉,"Nanzhuang Township, Miaoli County","Nanjhuang Township, Miaoli County","Nanzhuang Township, Miaoli County","Nanjuang Township, Miaoli County"
354,苗栗縣,獅潭鄉,"Shitan Township, Miaoli County","Shihtan Township, Miaoli County","Shitan Township, Miaoli County","Shtan Township, Miaoli County"
356,苗栗縣,後龍鎮,"Houlong Township, Miaoli County","Houlong Township, Miaoli County","Houlong Township, Miaoli County","Houlung Township, Miaoli County"
357,苗栗縣,通霄鎮,"Tongxiao Township, Miaoli County","Tongsiao Township, Miaoli County","Tongxiao Township, Miaoli County","Tungshiau Township, Miaoli County"
358,苗栗縣,苑裡鎮,"Yuanli Township, Miaoli County","Yuanli Township, Miaoli County","Yuanli Township, Miaoli County","Yuanli Township, Miaoli County"
360,苗栗縣,苗栗市,"Miaoli City, Miaoli County","Miaoli City, Miaoli County","Miaoli City, Miaoli County","Miaoli City, Miaoli County"
361,苗栗縣,造橋鄉,"Zaoqiao Township, Miaoli County","Zaociao Township, Miaoli County","Zaoqiao Township, Miaoli County","Tzauchiau Township, Miaoli County"
362,苗栗縣,頭屋鄉,"Touwu Township, Miaoli County","Touwu Township, Miaoli County","Touwu Township, Miaoli County","Touwu Township, Miaoli County"
363,苗栗縣,公館鄉,"Gongguan Township, Miaoli County","Gongguan Township, Miaoli County","Gongguan Township, Miaoli County","Gungguan Township, Miaoli County"
364,苗栗縣,大湖鄉,"Dahu Township, Miaoli County","Dahu Township, Miaoli County","Dahu Township, Miaoli County","Dahu Township, Miaoli County"
365,苗栗縣,泰安鄉,"Tai’an Township, Miaoli County","Tai’an Township, Miaoli County","Tai’an Township, Miaoli County","Tai’an Township, Miaoli County"
366,苗栗縣,銅鑼鄉,"Tongluo Township, Miaoli County","Tongluo Township, Miaoli County","Tongluo Township, Miaoli County","Tungluo Township, Miaoli County"
367,苗栗縣,三義鄉,"Sanyi Township, Miaoli County","Sanyi Township, Miaoli County","Sanyi Township, Miaoli County","Sanyi Township, Miaoli County"
368,苗栗縣,西湖鄉,"Xihu Township, Miaoli County","Sihu Township, Miaoli County","Xihu Township, Miaoli County","Shihu Township, Miaoli County"
369,苗栗縣,卓蘭鎮,"Zhuolan Township, Miaoli County","Jhuolan Township, Miaoli County","Zhuolan Township, Miaoli County","Juolan Township, Miaoli County"
411,台中市,太平區,"Taiping Dist., Taichung City","Taiping Dist., Taichung City","Taiping Dist., Taichung City","Taiping Dist., Taichung City"
412,台中市,大里區,"Dali Dist., Taichung City","Dali Dist., Taichung City","Dali Dist., Taichung City","Dali Dist., Taichung City"
413,台中市,霧峰區,"Wufeng Dist., Taichung City","Wufong Dist., Taichung City","Wufeng Dist., Taichung City","Wufeng Dist., Taichung City"
414,台中市,烏日區,"Wuri Dist., Taichung City","Wurih Dist., Taichung City","Wuri Dist., Taichung City","Wur Dist., Taichung City"
420,台中市,豐原區,"Fengyuan Dist., Taichung City","Fongyuan Dist., Taichung City","Fengyuan Dist., Taichung City","Fengyuan Dist., Taichung City"
421,台中市,后里區,"Houli Dist., Taichung City","Houli Dist., Taichung City","Houli Dist., Taichung City","Houli Dist., Taichung City"
422,台中市,石岡區,"Shigang Dist., Taichung City","Shihgang Dist., Taichung City","Shigang Dist., Taichung City","Shgang Dist., Taichung City"
423,台中市,東勢區,"Dongshi Dist., Taichung City","Dongshih Dist., Taichung City","Dongshi Dist., Taichung City","Dungsh Dist., Taichung City"
424,台中市,和平區,"Heping Dist., Taichung City","Heping Dist., Taichung City","Heping Dist., Taichung City","Heping Dist., Taichung City"
426,台中市,新社區,"Xinshe Dist., Taichung City","Sinshe Dist., Taichung City","Xinshe Dist., Taichung City","Shinshe Dist., Taichung City"
427,台中市,潭子區,"Tanzi Dist., Taichung City","Tanzih Dist., Taichung City","Tanzi Dist., Taichung City","Tantz Dist., Taichung City"
428,台中市,大雅區,"Daya Dist., Taichung City","Daya Dist., Taichung City","Daya Dist., Taichung City","Daya Dist., Taichung City"
429,台中市,神岡區,"Shengang Dist., Taichung City","Shengang Dist., Taichung City","Shengang Dist., Taichung City","Shengang Dist., Taichung City"
432,台中市,大肚區,"Dadu Dist., Taichung City","Dadu Dist., Taichung City","Dadu Dist., Taichung City","Dadu Dist., Taichung City"
433,台中市,沙鹿區,"Shalu Dist., Taichung City","Shalu Dist., Taichung City","Shalu Dist., Taichung City","Shalu Dist., Taichung City"
434,台中市,龍井區,"Longjing Dist., Taichung City","Longjing Dist., Taichung City","Longjing Dist., Taichung City","Lungjing Dist., Taichung City"
435,台中市,梧棲區,"Wuqi Dist., Taichung City","Wuci Dist., Taichung City","Wuqi Dist., Taichung City","Wuchi Dist., Taichung City"
436,台中市,清水區,"Qingshui Dist., Taichung City","Cingshuei Dist., Taichung City","Qingshui Dist., Taichung City","Chingshuei Dist., Taichung City"
437,台中市,大甲區,"Dajia Dist., Taichung City","Dajia Dist., Taichung City","Dajia Dist., Taichung City","Dajia Dist., Taichung City"
438,台中市,外埔區,"Waipu Dist., Taichung City","Waipu Dist., Taichung City","Waipu Dist., Taichung City","Waipu Dist., Taichung City"
439,台中市,大安區,"Da’an Dist., Taichung City","Da’an Dist., Taichung City","Da’an Dist., Taichung City","Da’An Dist., Taichung City"
500,彰化縣,彰化市,"Changhua City, Changhua County","Changhua City, Changhua County","Changhua City, Changhua County","Changhua City, Changhua County"
502,彰化縣,芬園鄉,"Fenyuan Township, Changhua County","Fenyuan Township, Changhua County","Fenyuan Township, Changhua County","Fenyuan Township, Changhua County"
503,彰化縣,花壇鄉,"Huatan Township, Changhua County","Huatan Township, Changhua County","Huatan Township, Changhua County","Huatan Township, Changhua County"
504,彰化縣,秀水鄉,"Xiushui Township, Changhua County","Sioushuei Township, Changhua County","Xiushui Township, Changhua County","Shioushuei Township, Changhua County"
505,彰化縣,鹿港鎮,"Lukang Township, Changhua County","Lukang Township, Changhua County","Lukang Township, Changhua County","Lukang Township, Changhua County"
506,彰化縣,福興鄉,"Fuxing Township, Changhua County","Fusing Township, Changhua County","Fuxing Township, Changhua County","Fushing Township, Changhua County"
507,彰化縣,線西鄉,"Xianxi Township, Changhua County","Siansi Township, Changhua County","Xianxi Township, Changhua County","Shianshi Township, Changhua County"
508,彰化縣,和美鎮,"Hemei Township, Changhua County","Hemei Township, Changhua County","Hemei Township, Changhua County","Hemei Township, Changhua County"
509,彰化縣,伸港鄉,"Shengang Township, Changhua County","Shengang Township, Changhua County","Shengang Township, Changhua County","Shengang Township, Changhua County"
510,彰化縣,員林鎮,"Yuanlin Township, Changhua County","Yuanlin Township, Changhua County","Yuanlin Township, Changhua County","Yuanlin Township, Changhua County"
511,彰化縣,社頭鄉,"Shetou Township, Changhua County","Shetou Township, Changhua County","Shetou Township, Changhua County","Shetou Township, Changhua County"
512,彰化縣,永靖鄉,"Yongjing Township, Changhua County","Yongjing Township, Changhua County","Yongjing Township, Changhua County","Yungjing Township, Changhua County"
513,彰化縣,埔心鄉,"Puxin Township, Changhua County","Pusin Township, Changhua County","Puxin Township, Changhua County","Pushin Township, Changhua County"
514,彰化縣,溪湖鎮,"Xihu Township, Changhua County","Sihu Township, Changhua County","Xihu Township, Changhua County","Shihu Township, Changhua County"
515,彰化縣,大村鄉,"Dacun Township, Changhua County","Dacun Township, Changhua County","Dacun Township, Changhua County","Datsuen Township, Changhua County"
516,彰化縣,埔鹽鄉,"Puyan Township, Changhua County","Puyan Township, Changhua County","Puyan Township, Changhua County","Puyan Township, Changhua County"
520,彰化縣,田中鎮,"Tianzhong Township, Changhua County","Tianjhong Township, Changhua County","Tianzhong Township, Changhua County","Tianjung Township, Changhua County"
521,彰化縣,北斗鎮,"Beidou Township, Changhua County","Beidou Township, Changhua County","Beidou Township, Changhua County","Beidou Township, Changhua County"
522,彰化縣,田尾鄉,"Tianwei Township, Changhua County","Tianwei Township, Changhua County","Tianwei Township, Changhua County","Tianwei Township, Changhua County"
523,彰化縣,埤頭鄉,"Pitou Township, Changhua County","Pitou Township, Changhua County","Pitou Township, Changhua County","Pitou Township, Changhua County"
524,彰化縣,溪州鄉,"Xizhou Township, Changhua County","Sijhou Township, Changhua County","Xizhou Township, Changhua County","Shijou Township, Changhua County"
525,彰化縣,竹塘鄉,"Zhutang Township, Changhua County","Jhutang Township, Changhua County","Zhutang Township, Changhua County","Jutang Township, Changhua County"
526,彰化縣,二林鎮,"Erlin Township, Changhua County","Erlin Township, Changhua County","Erlin Township, Changhua County","Erlin Township, Changhua County"
527,彰化縣,大城鄉,"Dacheng Township, Changhua County","Dacheng Township, Changhua County","Dacheng Township, Changhua County","Dacheng Township, Changhua County"
528,彰化縣,芳苑鄉,"Fangyuan Township, Changhua County","Fangyuan Township, Changhua County","Fangyuan Township, Changhua County","Fangyuan Township, Changhua County"
530,彰化縣,二水鄉,"Ershui Township, Changhua County","Ershuei Township, Changhua County","Ershui Township, Changhua County","Ershuei Township, Changhua County"
540,南投縣,南投市,"Nantou City, Nantou County","Nantou City, Nantou County","Nantou City, Nantou County","Nantou City, Nantou County"
541,南投縣,中寮鄉,"Zhongliao Township, Nantou County","Jhongliao Township, Nantou County","Zhongliao Township, Nantou County","Jungliau Township, Nantou County"
542,南投縣,草屯鎮,"Caotun Township, Nantou County","Caotun Township, Nantou County","Caotun Township, Nantou County","Tsautuen Township, Nantou County"
544,南投縣,國姓鄉,"Guoxing Township, Nantou County","Guosing Township, Nantou County","Guoxing Township, Nantou County","Guoshing Township, Nantou County"
545,南投縣,埔里鎮,"Puli Township, Nantou County","Puli Township, Nantou County","Puli Township, Nantou County","Puli Township, Nantou County"
546,南投縣,仁愛鄉,"Ren’ai Township, Nantou County","Ren’ai Township, Nantou County","Ren’ai Township, Nantou County","Ren’ai Township, Nantou County"
551,南投縣,名間鄉,"Mingjian Township, Nantou County","Mingjian Township, Nantou County","Mingjian Township, Nantou County","Mingjian Township, Nantou County"
552,南投縣,集集鎮,"Jiji Township, Nantou County","Jiji Township, Nantou County","Jiji Township, Nantou County","Jiji Township, Nantou County"
553,南投縣,水里鄉,"Shuili Township, Nantou County","Shueili Township, Nantou County","Shuili Township, Nantou County","Shueili Township, Nantou County"
555,南投縣,魚池鄉,"Yuchi Township, Nantou County","Yuchih Township, Nantou County","Yuchi Township, Nantou County","Yuchr Township, Nantou County"
556,南投縣,信義鄉,"Xinyi Township, Nantou County","Sinyi Township, Nantou County","Xinyi Township, Nantou County","Shinyi Township, Nantou County"
557,南投縣,竹山鎮,"Zhushan Township, Nantou County","Jhushan Township, Nantou County","Zhushan Township, Nantou County","Jushan Township, Nantou County"
558,南投縣,鹿谷鄉,"Lugu Township, Nantou County","Lugu Township, Nantou County","Lugu Township, Nantou County","Lugu Township, Nantou County"
602,嘉義縣,番路鄉,"Fanlu Township, Chiayi County","Fanlu Township, Chiayi County","Fanlu Township, Chiayi County","Fanlu Township, Chiayi County"
603,嘉義縣,梅山鄉,"Meishan Township, Chiayi County","Meishan Township, Chiayi County","Meishan Township, Chiayi County","Meishan Township, Chiayi County"
604,嘉義縣,竹崎鄉,"Zhuqi Township, Chiayi County","Jhuci Township, Chiayi County","Zhuqi Township, Chiayi County","Juchi Township, Chiayi County"
605,嘉義縣,阿里山鄉,"Alishan Township, Chiayi County","Alishan Township, Chiayi County","Alishan Township, Chiayi County","Alishan Township, Chiayi County"
606,嘉義縣,中埔鄉,"Zhongpu Township, Chiayi County","Jhongpu Township, Chiayi County","Zhongpu Township, Chiayi County","Jungpu Township, Chiayi County"
607,嘉義縣,大埔鄉,"Dapu Township, Chiayi County","Dapu Township, Chiayi County","Dapu Township, Chiayi County","Dapu Township, Chiayi County"
608,嘉義縣,水上鄉,"Shuishang Township, Chiayi County","Shueishang Township, Chiayi County","Shuishang Township, Chiayi County","Shueishang Township, Chiayi County"
611,嘉義縣,鹿草鄉,"Lucao Township, Chiayi County","Lucao Township, Chiayi County","Lucao Township, Chiayi County","Lutsau Township, Chiayi County"
612,嘉義縣,太保市,"Taibao City, Chiayi County","Taibao City, Chiayi County","Taibao City, Chiayi County","Taibau City, Chiayi County"
613,嘉義縣,朴子市,"Puzi City, Chiayi County","Puzih City, Chiayi County","Puzi City, Chiayi County","Putz City, Chiayi County"
614,嘉義縣,東石鄉,"Dongshi Township, Chiayi County","Dongshih Township, Chiayi County","Dongshi Township, Chiayi County","Dungsh Township, Chiayi County"
615,嘉義縣,六腳鄉,"Liujiao Township, Chiayi County","Lioujiao Township, Chiayi County","Liujiao Township, Chiayi County","Lioujiau Township, Chiayi County"
616,嘉義縣,新港鄉,"Xingang Township, Chiayi County","Singang Township, Chiayi County","Xingang Township, Chiayi County","Shingang Township, Chiayi County"
621,嘉義縣,民雄鄉,"Minxiong Township, Chiayi County","Minsyong Township, Chiayi County","Minxiong Township, Chiayi County","Minshiung Township, Chiayi County"
622,嘉義縣,大林鎮,"Dalin Township, Chiayi County","Dalin Township, Chiayi County","Dalin Township, Chiayi County","Dalin Township, Chiayi County"
623,嘉義縣,溪口鄉,"Xikou Township, Chiayi County","Sikou Township, Chiayi County","Xikou Township, Chiayi County","Shikou Township, Chiayi County"
624,嘉義縣,義竹鄉,"Yizhu Township, Chiayi County","Yijhu Township, Chiayi County","Yizhu Township, Chiayi County","Yiju Township, Chiayi County"
625,嘉義縣,布袋鎮,"Budai Township, Chiayi County","Budai Township, Chiayi County","Budai Township, Chiayi County","Budai Township, Chiayi County"
630,雲林縣,斗南鎮,"Dounan Township, Yunlin County","Dounan Township, Yunlin County","Dounan Township, Yunlin County","Dounan Township, Yunlin County"
631,雲林縣,大埤鄉,"Dapi Township, Yunlin County","Dapi Township, Yunlin County","Dapi Township, Yunlin County","Dapi Township, Yunlin County"
632,雲林縣,虎尾鎮,"Huwei Township, Yunlin County","Huwei Township, Yunlin County","Huwei Township, Yunlin County","Huwei Township, Yunlin County"
633,雲林縣,土庫鎮,"Tuku Township, Yunlin County","Tuku Township, Yunlin County","Tuku Township, Yunlin County","Tuku Township, Yunlin County"
634,雲林縣,褒忠鄉,"Baozhong Township, Yunlin County","Baojhong Township, Yunlin County","Baozhong Township, Yunlin County","Baujung Township, Yunlin County"
635,雲林縣,東勢鄉,"Dongshi Township, Yunlin County","Dongshih Township, Yunlin County","Dongshi Township, Yunlin County","Dungsh Township, Yunlin County"
636,雲林縣,台西鄉,"Taixi Township, Yunlin County","Taisi Township, Yunlin County","Taixi Township, Yunlin County","Taishi Township, Yunlin County"
637,雲林縣,崙背鄉,"Lunbei Township, Yunlin County","Lunbei Township, Yunlin County","Lunbei Township, Yunlin County","Luenbei Township, Yunlin County"
638,雲林縣,麥寮鄉,"Mailiao Township, Yunlin County","Mailiao Township, Yunlin County","Mailiao Township, Yunlin County","Mailiau Township, Yunlin County"
640,雲林縣,斗六市,"Douliu City, Yunlin County","Douliou City, Yunlin County","Douliu City, Yunlin County","Douliou City, Yunlin County"
643,雲林縣,林內鄉,"Linnei Township, Yunlin County","Linnei Township, Yunlin County","Linnei Township, Yunlin County","Linnei Township, Yunlin County"
646,雲林縣,古坑鄉,"Gukeng Township, Yunlin County","Gukeng Township, Yunlin County","Gukeng Township, Yunlin County","Gukeng Township, Yunlin County"
647,雲林縣,莿桐鄉,"Citong Township, Yunlin County","Cihtong Township, Yunlin County","Citong Township, Yunlin County","Tstung Township, Yunlin County"
648,雲林縣,西螺鎮,"Xiluo Township, Yunlin County","Siluo Township, Yunlin County","Xiluo Township, Yunlin County","Shiluo Township, Yunlin County"
649,雲林縣,二崙鄉,"Erlun Township, Yunlin County","Erlun Township, Yunlin County","Erlun Township, Yunlin County","Erluen Township, Yunlin County"
651,雲林縣,北港鎮,"Beigang Township, Yunlin County","Beigang Township, Yunlin County","Beigang Township, Yunlin County","Beigang Township, Yunlin County"
652,雲林縣,水林鄉,"Shuilin Township, Yunlin County","Shueilin Township, Yunlin County","Shuilin Township, Yunlin County","Shueilin Township, Yunlin County"
