# link=https://github.com/ronnywang/postcode
# data_time=2012-09-11
# data_source=http://www.post.gov.tw/post/internet/down/index.html?ID=190108
# description=鄉鎮縣市中英對照
#ZIPCODE,CITY,AREA,ECITYAREA,TCITYAREA,HCITYAREA,PCITYAREA
207,新北市,萬里區,"Wanli Dist., New Taipei City","Wanli Dist., New Taipei City","Wanli Dist., New Taipei City","Wanli Dist., New Taipei City"
208,新北市,金山區,"Jinshan Dist., New Taipei City","Jinshan Dist., New Taipei City","Jinshan Dist., New Taipei City","Jinshan Dist., New Taipei City"
209,連江縣,南竿鄉,"Nangan Township, Lienchiang County","Nangan Township, Lienchiang County","Nangan Township, Lienchiang County","Nangan Township, Lienchiang County"
210,連江縣,北竿鄉,"Beigan Township, Lienchiang County","Beigan Township, Lienchiang County","Beigan Township, Lienchiang County","Beigan Township, Lienchiang County"
211,連江縣,莒光鄉,"Juguang Township, Lienchiang County","Jyuguang Township, Lienchiang County","Juguang Township, Lienchiang County","Jiuguang Township, Lienchiang County"
212,連江縣,東引鄉,"Dongyin Township, Lienchiang County","Dongyin Township, Lienchiang County","Dongyin Township, Lienchiang County","Dungyin Township, Lienchiang County"
220,新北市,板橋區,"Banqiao Dist., New Taipei City","Banciao Dist., New Taipei City","Banqiao Dist., New Taipei City","Banchiau Dist., New Taipei City"
221,新北市,汐止區,"Xizhi Dist., New Taipei City","Sijhih Dist., New Taipei City","Xizhi Dist., New Taipei City","Shijr Dist., New Taipei City"
222,新北市,深坑區,"Shenkeng Dist., New Taipei City","Shenkeng Dist., New Taipei City","Shenkeng Dist., New Taipei City","Shenkeng Dist., New Taipei City"
223,新北市,石碇區,"Shiding Dist., New Taipei City","Shihding Dist., New Taipei City","Shiding Dist., New Taipei City","Shding Dist., New Taipei City"
224,新北市,瑞芳區,"Ruifang Dist., New Taipei City","Rueifang Dist., New Taipei City","Ruifang Dist., New Taipei City","Rueifang Dist., New Taipei City"
226,新北市,平溪區,"Pingxi Dist., New Taipei City","Pingsi Dist., New Taipei City","Pingxi Dist., New Taipei City","Pingshi Dist., New Taipei City"
227,新北市,雙溪區,"Shuangxi Dist., New Taipei City","Shuangsi Dist., New Taipei City","Shuangxi Dist., New Taipei City","Shuangshi Dist., New Taipei City"
228,新北市,貢寮區,"Gongliao Dist., New Taipei City","Gongliao Dist., New Taipei City","Gongliao Dist., New Taipei City","Gungliau Dist., New Taipei City"
231,新北市,新店區,"Xindian Dist., New Taipei City","Sindian Dist., New Taipei City","Xindian Dist., New Taipei City","Shindian Dist., New Taipei City"
232,新北市,坪林區,"Pinglin Dist., New Taipei City","Pinglin Dist., New Taipei City","Pinglin Dist., New Taipei City","Pinglin Dist., New Taipei City"
233,新北市,烏來區,"Wulai Dist., New Taipei City","Wulai Dist., New Taipei City","Wulai Dist., New Taipei City","Wulai Dist., New Taipei City"
234,新北市,永和區,"Yonghe Dist., New Taipei City","Yonghe Dist., New Taipei City","Yonghe Dist., New Taipei City","Yunghe Dist., New Taipei City"
235,新北市,中和區,"Zhonghe Dist., New Taipei City","Jhonghe Dist., New Taipei City","Zhonghe Dist., New Taipei City","Junghe Dist., New Taipei City"
236,新北市,土城區,"Tucheng Dist., New Taipei City","Tucheng Dist., New Taipei City","Tucheng Dist., New Taipei City","Tucheng Dist., New Taipei City"
237,新北市,三峽區,"Sanxia Dist., New Taipei City","Sansia Dist., New Taipei City","Sanxia Dist., New Taipei City","Sanshia Dist., New Taipei City"
238,新北市,樹林區,"Shulin Dist., New Taipei City","Shulin Dist., New Taipei City","Shulin Dist., New Taipei City","Shulin Dist., New Taipei City"
239,新北市,鶯歌區,"Yingge Dist., New Taipei City","Yingge Dist., New Taipei City","Yingge Dist., New Taipei City","Yingge Dist., New Taipei City"
241,新北市,三重區,"Sanchong Dist., New Taipei City","Sanchong Dist., New Taipei City","Sanchong Dist., New Taipei City","Sanchung Dist., New Taipei City"
242,新北市,新莊區,"Xinzhuang Dist., New Taipei City","Sinjhuang Dist., New Taipei City","Xinzhuang Dist., New Taipei City","Shinjuang Dist., New Taipei City"
243,新北市,泰山區,"Taishan Dist., New Taipei City","Taishan Dist., New Taipei City","Taishan Dist., New Taipei City","Taishan Dist., New Taipei City"
244,新北市,林口區,"Linkou Dist., New Taipei City","Linkou Dist., New Taipei City","Linkou Dist., New Taipei City","Linkou Dist., New Taipei City"
247,新北市,蘆洲區,"Luzhou Dist., New Taipei City","Lujhou Dist., New Taipei City","Luzhou Dist., New Taipei City","Lujou Dist., New Taipei City"
248,新北市,五股區,"Wugu Dist., New Taipei City","Wugu Dist., New Taipei City","Wugu Dist., New Taipei City","Wugu Dist., New Taipei City"
249,新北市,八里區,"Bali Dist., New Taipei City","Bali Dist., New Taipei City","Bali Dist., New Taipei City","Bali Dist., New Taipei City"
251,新北市,淡水區,"Tamsui Dist., New Taipei City","Tamsui Dist., New Taipei City","Tamsui Dist., New Taipei City","Tamsui Dist., New Taipei City"
252,新北市,三芝區,"Sanzhi Dist., New Taipei City","Sanjhih Dist., New Taipei City","Sanzhi Dist., New Taipei City","Sanjr Dist., New Taipei City"
253,新北市,石門區,"Shimen Dist., New Taipei City","Shihmen Dist., New Taipei City","Shimen Dist., New Taipei City","Shmen Dist., New Taipei City"
260,宜蘭縣,宜蘭市,"Yilan City, Yilan County","Yilan City, Yilan County","Yilan City, Yilan County","Yilan City, Yilan County"
261,宜蘭縣,頭城鎮,"Toucheng Township, Yilan County","Toucheng Township, Yilan County","Toucheng Township, Yilan County","Toucheng Township, Yilan County"
262,宜蘭縣,礁溪鄉,"Jiaoxi Township, Yilan County","Jiaosi Township, Yilan County","Jiaoxi Township, Yilan County","Jiaushi Township, Yilan County"
263,宜蘭縣,壯圍鄉,"Zhuangwei Township, Yilan County","Jhuangwei Township, Yilan County","Zhuangwei Township, Yilan County","Juangwei Township, Yilan County"
264,宜蘭縣,員山鄉,"Yuanshan Township, Yilan County","Yuanshan Township, Yilan County","Yuanshan Township, Yilan County","Yuanshan Township, Yilan County"
265,宜蘭縣,羅東鎮,"Luodong Township, Yilan County","Luodong Township, Yilan County","Luodong Township, Yilan County","Luodung Township, Yilan County"
266,宜蘭縣,三星鄉,"Sanxing Township, Yilan County","Sansing Township, Yilan County","Sanxing Township, Yilan County","Sanshing Township, Yilan County"
267,宜蘭縣,大同鄉,"Datong Township, Yilan County","Datong Township, Yilan County","Datong Township, Yilan County","Datung Township, Yilan County"
268,宜蘭縣,五結鄉,"Wujie Township, Yilan County","Wujie Township, Yilan County","Wujie Township, Yilan County","Wujie Township, Yilan County"
269,宜蘭縣,冬山鄉,"Dongshan Township, Yilan County","Dongshan Township, Yilan County","Dongshan Township, Yilan County","Dungshan Township, Yilan County"
270,宜蘭縣,蘇澳鎮,"Su’ao Township, Yilan County","Su’ao Township, Yilan County","Su’ao Township, Yilan County","Su’au Township, Yilan County"
272,宜蘭縣,南澳鄉,"Nan’ao Township, Yilan County","Nan’ao Township, Yilan County","Nan’ao Township, Yilan County","Nan’au Township, Yilan County"
290,宜蘭縣,釣魚台,Diauyutai,Diaoyutai,Diauyutai,Diauyutai
302,新竹縣,竹北市,"Zhubei City, Hsinchu County","Jhubei City, Hsinchu County","Zhubei City, Hsinchu County","Jubei City, Hsinchu County"
303,新竹縣,湖口鄉,"Hukou Township, Hsinchu County","Hukou Township, Hsinchu County","Hukou Township, Hsinchu County","Hukou Township, Hsinchu County"
304,新竹縣,新豐鄉,"Xinfeng Township, Hsinchu County","Sinfong Township, Hsinchu County","Xinfeng Township, Hsinchu County","Shinfeng Township, Hsinchu County"
305,新竹縣,新埔鎮,"Xinpu Township, Hsinchu County","Sinpu Township, Hsinchu County","Xinpu Township, Hsinchu County","Shinpu Township, Hsinchu County"
306,新竹縣,關西鎮,"Guanxi Township, Hsinchu County","Guansi Township, Hsinchu County","Guanxi Township, Hsinchu County","Guanshi Township, Hsinchu County"
307,新竹縣,芎林鄉,"Qionglin Township, Hsinchu County","Cyonglin Township, Hsinchu County","Qionglin Township, Hsinchu County","Dist.nglin Township, Hsinchu County"
308,新竹縣,寶山鄉,"Baoshan Township, Hsinchu County","Baoshan Township, Hsinchu County","Baoshan Township, Hsinchu County","Baushan Township, Hsinchu County"
